지운 파일,바이트,이유
calib/th_260914/th_260914_before/192_168_0_151_20260914_181603.y16meta,16013,검출 0 (대비는 3.70℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_181603.avi,22840,검출 0 (대비는 3.70℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_181603.csv,998,검출 0 (대비는 3.70℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_181927.y16raw,1113600,검출 0 (대비는 3.94℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_181927.y16meta,16168,검출 0 (대비는 3.94℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_181927.avi,30272,검출 0 (대비는 3.94℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_181927.csv,1198,검출 0 (대비는 3.94℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_181940.y16raw,998400,검출 0 (대비는 3.95℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_181940.y16meta,16075,검출 0 (대비는 3.95℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_181940.avi,30928,검출 0 (대비는 3.95℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_181940.csv,1078,검출 0 (대비는 3.95℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182118.y16raw,1036800,검출 0 (대비는 2.44℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182118.y16meta,16106,검출 0 (대비는 2.44℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182118.avi,17868,검출 0 (대비는 2.44℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182118.csv,1118,검출 0 (대비는 2.44℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182137.y16raw,1036800,검출 0 (대비는 2.20℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182137.y16meta,16106,검출 0 (대비는 2.20℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182137.avi,17528,검출 0 (대비는 2.20℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182137.csv,1118,검출 0 (대비는 2.20℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182233.y16raw,921600,검출 0 (대비는 2.84℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182233.y16meta,16013,검출 0 (대비는 2.84℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182233.avi,15446,검출 0 (대비는 2.84℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182233.csv,998,검출 0 (대비는 2.84℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182240.y16raw,1036800,검출 0 (대비는 3.39℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182240.y16meta,16106,검출 0 (대비는 3.39℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182240.avi,35208,검출 0 (대비는 3.39℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182240.csv,1118,검출 0 (대비는 3.39℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182249.y16raw,998400,검출 0 (대비는 3.82℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182249.y16meta,16075,검출 0 (대비는 3.82℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182249.avi,25516,검출 0 (대비는 3.82℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182249.csv,1078,검출 0 (대비는 3.82℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182301.y16raw,998400,검출 0 (대비는 5.08℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182301.y16meta,16075,검출 0 (대비는 5.08℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182301.avi,18446,검출 0 (대비는 5.08℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182301.csv,1078,검출 0 (대비는 5.08℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182310.y16raw,960000,검출 0 (대비는 3.59℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182310.y16meta,16044,검출 0 (대비는 3.59℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182310.avi,29882,검출 0 (대비는 3.59℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182310.csv,1038,검출 0 (대비는 3.59℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182320.y16raw,960000,검출 0 (대비는 3.70℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182320.y16meta,16044,검출 0 (대비는 3.70℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182320.avi,32218,검출 0 (대비는 3.70℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182320.csv,1038,검출 0 (대비는 3.70℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182338.y16raw,998400,검출 0 (대비는 2.64℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182338.y16meta,16075,검출 0 (대비는 2.64℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182338.avi,18028,검출 0 (대비는 2.64℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182338.csv,1078,검출 0 (대비는 2.64℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182347.y16raw,1036800,검출 0 (대비는 2.71℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182347.y16meta,16106,검출 0 (대비는 2.71℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182347.avi,20472,검출 0 (대비는 2.71℃ 있음 — 자세/거리 문제)
calib/th_260914/th_260914_before/192_168_0_151_20260914_182347.csv,1118,검출 0 (대비는 2.71℃ 있음 — 자세/거리 문제)
calib/rgb/KakaoTalk_20260829_183807940.mp4,44565323,원본 4개로 대체됨
calib/th_260914/rgb/cam3/17-52-43.mp4,293,손상 — 열리지 않음
calib/th_260914/rgb/cam3/17-55-48.mp4,293,손상 — 열리지 않음
calib/_all/d350_01.y16meta,16478,th/th350/th400/th450 와 동일한 사본
calib/_all/d350_01.y16raw,82150080,th/th350/th400/th450 와 동일한 사본
calib/_all/d350_02.y16meta,16695,th/th350/th400/th450 와 동일한 사본
calib/_all/d350_02.y16raw,1766400,th/th350/th400/th450 와 동일한 사본
calib/_all/d350_03.y16meta,16416,th/th350/th400/th450 와 동일한 사본
calib/_all/d350_03.y16raw,1420800,th/th350/th400/th450 와 동일한 사본
calib/_all/d400_01.y16meta,16354,th/th350/th400/th450 와 동일한 사본
calib/_all/d400_01.y16raw,1344000,th/th350/th400/th450 와 동일한 사본
calib/_all/d400_02.y16meta,16323,th/th350/th400/th450 와 동일한 사본
calib/_all/d400_02.y16raw,1305600,th/th350/th400/th450 와 동일한 사본
calib/_all/d400_03.y16meta,16757,th/th350/th400/th450 와 동일한 사본
calib/_all/d400_03.y16raw,1843200,th/th350/th400/th450 와 동일한 사본
calib/_all/d450_01.y16meta,16385,th/th350/th400/th450 와 동일한 사본
calib/_all/d450_01.y16raw,1382400,th/th350/th400/th450 와 동일한 사본
calib/_all/d450_02.y16meta,16912,th/th350/th400/th450 와 동일한 사본
calib/_all/d450_02.y16raw,2035200,th/th350/th400/th450 와 동일한 사본
calib/_all/d450_03.y16meta,16788,th/th350/th400/th450 와 동일한 사본
calib/_all/d450_03.y16raw,1881600,th/th350/th400/th450 와 동일한 사본
calib/_all/dUNK_01.y16meta,25655,th/th350/th400/th450 와 동일한 사본
calib/_all/dUNK_01.y16raw,12864000,th/th350/th400/th450 와 동일한 사본
calib/_all/dUNK_02.y16meta,21532,th/th350/th400/th450 와 동일한 사본
calib/_all/dUNK_02.y16raw,7756800,th/th350/th400/th450 와 동일한 사본
calib/_all/dUNK_03.y16meta,26244,th/th350/th400/th450 와 동일한 사본
calib/_all/dUNK_03.y16raw,13593600,th/th350/th400/th450 와 동일한 사본
calib/th_260914/th_260914_before/192_168_0_151_20260914_180655.y16raw,1036800,calib\th_260914\th_260914\192_168_0_151_20260914_180655.y16raw 와 같은 녹화의 사본
calib/th_260914/th_260914_before/192_168_0_151_20260914_180655.y16meta,16106,calib\th_260914\th_260914\192_168_0_151_20260914_180655.y16meta 와 같은 녹화의 사본
calib/th_260914/th_260914_before/192_168_0_151_20260914_180655.avi,22002,calib\th_260914\th_260914\192_168_0_151_20260914_180655.avi 와 같은 녹화의 사본
calib/th_260914/th_260914_before/192_168_0_151_20260914_180655.csv,1118,calib\th_260914\th_260914\192_168_0_151_20260914_180655.csv 와 같은 녹화의 사본
calib/th_260914/th_260914_before/192_168_0_151_20260914_180708.y16raw,1075200,calib\th_260914\th_260914\192_168_0_151_20260914_180708.y16raw 와 같은 녹화의 사본
calib/th_260914/th_260914_before/192_168_0_151_20260914_180708.y16meta,16137,calib\th_260914\th_260914\192_168_0_151_20260914_180708.y16meta 와 같은 녹화의 사본
calib/th_260914/th_260914_before/192_168_0_151_20260914_180708.avi,21790,calib\th_260914\th_260914\192_168_0_151_20260914_180708.avi 와 같은 녹화의 사본
calib/th_260914/th_260914_before/192_168_0_151_20260914_180708.csv,1158,calib\th_260914\th_260914\192_168_0_151_20260914_180708.csv 와 같은 녹화의 사본
